song_id;title;artist;date;peak_position;chord_progression;semitone_progression
393;Misunderstanding;Genesis;1980-07-26;14;D:min-E:min7-D:min7/b3-A:min-G:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-C:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-C:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-C:maj-Ab:maj-Bb:maj/b7-Ab:maj-Bb:maj/b7-Ab:maj-Bb:maj/b7-Ab:maj-Bb:maj/b7-G:min7-F:min7-G:min7-F:min7-G:min7-A:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-C:maj-Ab:maj-Bb:maj/b7-Ab:maj-Bb:maj/b7-Ab:maj-Bb:maj/b7-Ab:maj-Bb:maj/b7-G:min7-F:min7-G:min7-F:min7-G:min7-A:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-D:min-E:min7-D:min7/b3-A:min-G:maj-N;3-2-10-7-10-7-2-10-7-10-7-2-10-7-10-5-2-2-10-7-10-7-2-10-7-10-7-2-10-7-10-5-2-2-10-7-10-7-2-10-7-10-7-2-10-7-10-5-8-2-10-2-10-2-10-2-9-10-2-10-2-2-5-2-10-7-10-7-2-10-7-10-7-2-10-7-10-5-8-2-10-2-10-2-10-2-9-10-2-10-2-2-5-2-10-7-10-7-2-10-7-10-7-2-10-7-10-7-2-10-7-10-7-2-10-7-10-7-2-10-7-10-7-2-10-7-10-7-2-10-7-10-4
709;Caught Up In The Rapture;Anita Baker;1987-02-28;37;D:maj9-F:maj/2-A:min7-C:sus4(b7,-G:min7-A:sus4(b7)-D:maj9-F:maj/2-A:min7-C:sus4(b7,-G:min7-A:sus4(b7)-D:maj7-F#:min7-G:maj7-C:sus4(b7,-D:maj7-F#:min7-G:maj7-C:sus4(b7,-C#:(b3,b7,-F#:7-B:min7-E:7-A:min-D:7-G:maj7-C:13-C#:(b3,b7,-F#:7-B:min7-E:7-A:sus4(b7,-B:min7-G:maj7-E:min7-F#:aug(b7)-B:min7-G:maj7-E:min7-A:sus4(b7)-D:maj9-F:maj/2-A:min7-C:sus4(b7,-G:min7-A:sus4(b7)-D:maj7-F#:min7-G:maj7-C:sus4(b7,-D:maj7-F#:min7-G:maj7-C:sus4(b7,-C#:(b3,b7,-F#:7-B:min7-E:7-A:min-D:7-G:maj7-C:13-C#:(b3,b7,-F#:7-B:min7-E:7-A:sus4(b7,-B:min7-G:maj7-E:min7-F#:aug(b7)-B:min7-G:maj7-E:min7-F#:aug(b7)-B:min7-G:maj7-E:min7-A:sus4(b7)-D:maj9-F:maj/2-A:min7-C:sus4(b7,-G:min7-A:sus4(b7)-D:maj9-F:maj/2-A:min7-C:sus4(b7,-G:min7-A:sus4(b7)-C#:(b3,b7,-F#:7-B:min7-E:7-A:min-D:7-G:maj7-C:13-C#:(b3,b7,-F#:7-B:min7-E:7-A:sus4(b7,-B:min7-G:maj7-E:min7-F#:aug(b7)-B:min7-G:maj7-E:min7-F#:aug(b7)-B:min7-G:maj7-E:min7-F#:aug(b7)-B:min7-G:maj7-E:min7-F#:aug(b7)-B:min7-G:maj7-E:min7-F#:aug(b7)-B:min7-G:maj7-E:min7-F#:aug(b7)-B:min7-G:maj7-E:min7-F#:aug(b7)-B:min7-G:maj7-E:min7-F#:aug(b7)-B:min7-G:maj7-E:min7-F#:aug(b7)-B:min7-G:maj7-E:min7-F#:aug(b7)-N;3-3-4-3-7-2-5-3-4-3-7-2-5-4-1-5-2-4-1-5-1-5-5-5-5-5-5-5-1-5-5-5-5-2-8-9-2-5-8-9-5-5-3-4-3-7-2-5-4-1-5-2-4-1-5-1-5-5-5-5-5-5-5-1-5-5-5-5-2-8-9-2-5-8-9-2-5-8-9-5-5-3-4-3-7-2-5-3-4-3-7-2-4-5-5-5-5-5-5-5-1-5-5-5-5-2-8-9-2-5-8-9-2-5-8-9-2-5-8-9-2-5-8-9-2-5-8-9-2-5-8-9-2-5-8-9-2-5-8-9-2-5-8-9-2-5
329;Smoking Gun;The Robert Cray Band;1987-03-07;22;E:min7-A:min7-E:min7-A:min7-Bb:1/1-A:1/1-E:min7-A:min7-E:min7-A:min7-Bb:1/1-A:1/1-E:min7-A:min7-E:min7-A:min7-Bb:1/1-A:1/1-E:min7-A:min7-E:min7-A:min7-Bb:1/1-A:1/1-E:min7-A:min7-E:min7-A:min7-Bb:1/1-A:1/1-E:min7-N;5-5-7-5-1-11-7-5-7-5-1-11-7-5-7-5-1-11-7-5-7-5-1-11-7-5-7-5-1-11-7-7
1062;Tuff Enuff;The Fabulous Thunderbirds;1986-06-28;10;D:maj-E:maj-B:maj-D:maj-E:maj-B:maj-D:maj-E:maj-B:maj-D:maj-E:maj-B:maj-D:maj-E:maj-B:maj-D:maj-E:maj-B:maj-D:maj-A:maj-B:maj-D:maj-E:maj-B:maj-D:maj-E:maj-B:maj-D:maj-E:maj-B:maj-D:maj-E:maj-B:maj-D:maj-E:maj-B:maj-D:maj-E:maj-B:maj-D:maj-E:maj-B:maj-D:maj-E:maj-B:maj-D:maj-A:maj-B:maj-D:maj-E:maj-B:maj-D:maj-E:maj-B:maj-D:maj-E:maj-B:maj-D:maj-E:maj-B:maj-D:maj-N;3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-7-2-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-7-2-3-2-7-3-2-7-3-2-7-3-2-7-3-9
688;On The Road Again;Canned Heat;1968-08-24;16;E:1/1-G:1/1-A:1/1-E:7(#9)-G:1/1-A:1/1-E:7(#9)-G:1/1-A:1/1-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-G:maj-A:maj-E:7(#9)-N;5-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-3-2-7-7
822;I Cried A Tear;LaVern Baker;1959-02-09;6;E:7-N-A:maj-E:7-A:maj-D:maj-A:maj-E:7-A:maj-E:7-A:maj-E:7-A:maj-D:maj-A:maj-E:7-A:maj-E:7-A:maj-D:maj-A:maj-E:7-A:maj-E:7-A:maj-E:7-A:maj-D:maj-A:maj-E:7-A:maj-E:7-N-A:maj-N;5-7-10-7-5-5-7-7-5-7-5-7-5-5-7-7-5-7-5-5-7-7-5-7-5-7-5-5-7-7-5-7-7-10-2
636;After The Lovin';Engelbert Humperdinck;1977-02-05;8;A:min-E:aug-A:min-D:7-E:min7-F:maj-A:min7-D:maj9-G:11-C:maj-D:min-G:maj-D:min7-Bb:maj/3-G:maj/5-C:maj-G:11-C:maj-D:min-G:maj-D:min7-Bb:maj/3-G:maj/5-C:maj-F:maj7-C:maj7-G:11-C:maj-A:min-E:aug-A:min-F#:hdim7/b-D:min7-G:7-D:min7-G:7-C:maj-D:min-G:maj-D:min7-Bb:maj/3-G:maj/5-A:7-F:maj-E:7-A:min-D:7(#11)-E:min7-D:min7-G:11-C:maj-Ab:7-Db:maj-Eb:min-Ab:maj-Eb:min7-B:maj/b4-Ab:maj-Bb:11-Ab:dim7/2-Gb:maj7-F:7-Bb:min-Eb:9-F:min7-Eb:min7-Ab:11-Db:maj-Bb:sus4(b7-Eb:min7-F:min7-Eb:min7-Ab:11-Db:maj-Bb:min7-Eb:min7-F:min7-Eb:min7-Ab:11-Db:maj-F:aug-Bb:min7-Eb:7-F:min7-Db:maj/3-Ab:maj/2-Eb:min7-Ab:11-Db:maj7-N;10-7-5-5-2-1-4-5-5-5-2-5-7-8-9-5-7-5-2-5-7-8-9-5-5-7-7-5-9-7-5-9-8-5-7-5-5-2-5-7-8-9-2-8-11-5-5-2-10-5-5-8-5-2-5-7-8-9-2-10-10-11-5-5-2-10-5-5-9-5-2-10-5-5-9-5-2-10-5-5-4-5-5-2-8-7-7-5-5-10
345;Doo Doo Doo Doo Doo (Heartbreaker);The Rolling Stones;1974-03-02;15;E:maj-G:maj-C:maj-E:maj-G:maj-C:maj-E:maj-A:min-E:min7-A:min-E:min7-G:maj-C:maj-E:min-G:maj-C:maj-E:min-A:min-E:min7-A:min-E:min7-G:maj-C:maj-E:min-G:maj-C:maj-E:min-G:maj-C:maj-E:min-G:maj-C:maj-E:min-A:min-E:min7-A:min-E:min7-G:maj-C:maj-E:min-G:maj-C:maj-E:min-G:maj-C:maj-E:min-G:maj-C:maj-E:min-G:maj-C:maj-E:min-G:maj-C:maj-E:min-G:maj-C:maj-E:min-G:maj-C:maj-E:min-G:maj-C:maj-E:min-G:maj-C:maj-E:min-N;5-3-5-4-3-5-4-5-7-5-7-3-5-4-3-5-4-5-7-5-7-3-5-4-3-5-4-3-5-4-3-5-4-5-7-5-7-3-5-4-3-5-4-3-5-4-3-5-4-3-5-4-3-5-4-3-5-4-3-5-4-3-5-4-3-5-4-7
900;I Wish It Would Rain;The Temptations;1968-02-24;4;Bb:maj-Eb:maj-Bb:maj-Eb:maj-Bb:maj-Eb:1/1-Bb:1/1-F:1/1-Eb:1/1-Bb:maj-Eb:maj-Bb:maj-Eb:maj-Bb:maj-F:7-Eb:maj-Bb:maj-Eb:maj-Bb:maj-Eb:maj-Bb:maj-Eb:maj-Bb:maj-Eb:maj-Bb:maj-Eb:maj-Bb:maj-Eb:maj-Bb:maj-Eb:maj-Bb:maj-F:7-Eb:maj-Bb:maj-Eb:maj-Bb:maj-Eb:maj-Bb:maj-Eb:maj-Bb:maj-Eb:maj-Bb:maj-Eb:maj-Bb:maj-Eb:maj-Bb:maj-Eb:maj-N;11-5-7-5-7-5-7-7-10-7-5-7-5-7-7-10-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-7-10-7-5-7-5-7-5-7-5-7-5-7-5-7-5-8
568;Dance Away;Roxy Music;1979-05-19;44;Bb:maj-G:min-F:maj-Eb:maj-C:maj-Ab:maj-Bb:maj-Ab:maj-Bb:maj-Eb:maj-C:maj-Ab:maj-Bb:maj-Ab:maj-Bb:maj-Ab:maj-Bb:maj-F:maj-D:min-Bb:maj-C:maj-F:maj-D:min-Bb:maj-C:maj-Bb:maj-Eb:maj-C:maj-Ab:maj-Bb:maj-Ab:maj-Bb:maj-Eb:maj-C:maj-Ab:maj-Bb:maj-Ab:maj-Bb:maj-Ab:maj-Bb:maj-F:maj-D:min-Bb:maj-C:maj-F:maj-D:min-Bb:maj-C:maj-F:maj-Db:maj-F:maj-Db:maj-F#:maj-N-Eb:maj-C:maj-Ab:maj-Bb:maj-Ab:maj-Bb:maj-Eb:maj-C:maj-Ab:maj-Bb:maj-Ab:maj-Bb:maj-Ab:maj-Bb:maj-F:maj-D:min-Bb:maj-C:maj-F:maj-D:min-Bb:maj-C:maj-F:maj-D:min-Bb:maj-C:maj-F:maj-D:min-Bb:maj-C:maj-F:maj-D:min-Bb:maj-C:maj-F:maj-D:min-Bb:maj-N;11-9-10-10-9-8-2-10-2-5-9-8-2-10-2-10-2-7-9-8-2-5-9-8-2-10-5-9-8-2-10-2-5-9-8-2-10-2-10-2-7-9-8-2-5-9-8-2-5-8-4-8-5-5-4-9-8-2-10-2-5-9-8-2-10-2-10-2-7-9-8-2-5-9-8-2-5-9-8-2-5-9-8-2-5-9-8-2-5-9-8-1
970;Modern Love;David Bowie;1983-12-10;14;D:maj/2-E:min-D:maj/b7-C:maj-D:sus4-E:min-C:maj-G:maj-A:min7-E:7-F:maj-C:maj-G:maj-E:min7-C:maj-G:maj-A:min7-E:7-F:maj-C:maj-G:maj-E:min7-C:maj-D:maj-E:min-F:maj-C:maj-D:maj-E:min-F:maj-C:maj-D:maj-E:min-F:maj-D:maj/2-E:min-D:maj/b7-C:maj-D:sus4-E:min-C:maj-G:maj-A:min7-E:7-F:maj-C:maj-G:maj-E:min7-C:maj-G:maj-A:min7-E:7-F:maj-C:maj-G:maj-E:min7-C:maj-D:maj-E:min-F:maj-C:maj-D:maj-E:min-F:maj-C:maj-D:maj-E:min-F:maj-C:maj-D:maj-E:min-F:maj-C:maj-D:maj-E:min-F:maj-C:maj-D:maj-E:min-F:maj-C:maj-D:maj-E:min-F:maj-C:maj-D:maj-E:min-F:maj-C:maj-D:maj-E:min-F:maj-C:maj-D:maj-E:min-F:maj-C:maj-D:maj-E:min-F:maj-C:maj-D:maj-E:min-F:maj-N;3-2-10-10-2-2-8-7-2-7-1-7-7-9-8-7-2-7-1-7-7-9-8-2-2-1-7-2-2-1-7-2-2-1-9-2-10-10-2-2-8-7-2-7-1-7-7-9-8-7-2-7-1-7-7-9-8-2-2-1-7-2-2-1-7-2-2-1-7-2-2-1-7-2-2-1-7-2-2-1-7-2-2-1-7-2-2-1-7-2-2-1-7-2-2-1-7-2-2-1-7-2-2-1-6
889;Don't You Know What The Night Can Do?;Steve Winwood;1988-10-15;6;A:min7-G:maj/2-A:min7-G:maj/2-F:maj9-G:maj/b7-F:maj9-G:maj(9)-A:min7-G:maj/2-A:min7-G:maj/2-F:maj9-G:maj/b7-F:maj9-G:maj(9)-C:maj-F:maj-C:maj-F:maj-C:maj-F:maj-C:maj/5-G:maj-C:maj/5-G:maj-C:maj-F:maj-C:maj-G:maj-F:maj(9)-C:maj-F:maj-C:maj/5-G:maj-A:min-C:maj-A:min-F:maj-G:sus4-A:min-C:maj-A:min-F:maj-G:sus4-C:maj/5-G:7-C:maj-G:maj-F:maj/2-C:maj-G:maj-F:maj/2-C:maj-G:maj-C:maj-F:maj-C:maj-F:maj-C:maj-F:maj-C:maj/5-G:maj-C:maj/5-G:maj-C:maj-F:maj-C:maj-G:maj-F:maj(9)-C:maj-F:maj-C:maj/5-G:maj-A:min-C:maj-A:min-F:maj-G:sus4-A:min-C:maj-A:min-F:maj-G:sus4-C:maj/5-G:7-C:maj-G:maj-F:maj/2-C:maj-G:maj-F:maj/2-C:maj-G:maj-F:maj/2-C:maj-G:maj-F:maj/2-G:maj-A:min7-G:maj/2-A:min7-G:maj/2-F:maj9-G:maj/b7-F:maj9-G:maj(9)-A:min7-G:maj/2-A:min7-G:maj/2-F:maj9-G:maj/b7-F:maj9-G:maj(9)-C:maj-F:maj/5-C:maj-F:maj/5-C:maj-G:maj-C:maj/5-G:maj-C:maj/5-G:maj-C:maj-F:maj/5-C:maj-F:maj/5-C:maj-G:maj-C:maj/5-G:maj-C:maj/5-G:maj-A:min-C:maj-A:min-F:maj-G:sus4-A:min-C:maj-A:min-F:maj-G:sus4-C:maj/5-G:7-C:maj-G:maj-F:maj/2-C:maj-G:maj-F:maj/2-C:maj-G:maj-F:maj/2-C:maj-G:maj-F:maj/2-G:maj-A:min7-G:maj/2-A:min7-G:maj/2-F:maj9-G:maj/b7-F:maj9-G:maj(9)-A:min7-G:maj/2-A:min7-G:maj/2-F:maj9-G:maj/b7-F:maj9-G:maj(9)-C:maj-F:maj/5-C:maj-F:maj/5-C:maj-G:maj-C:maj/5-G:maj-C:maj/5-G:maj-C:maj-F:maj/5-C:maj-F:maj/5-C:maj-G:maj-C:maj/5-G:maj-C:maj/5-G:maj-C:maj-F:maj/5-C:maj-F:maj/5-C:maj-F:maj/5-C:maj-F:maj/5-C:maj-G:maj-C:maj/5-G:maj-C:maj/5-G:maj-C:maj-F:maj/5-C:maj-F:maj/5-C:maj-G:maj-C:maj/5-G:maj-C:maj/5-E:min7-A:min-G:maj/2-A:min-G:maj/2-A:min-G:maj/2-A:min-G:maj/2-A:min-N;10-10-2-10-10-2-10-2-2-10-2-10-10-2-10-2-5-5-7-5-7-5-7-7-5-7-5-5-7-7-10-7-5-7-7-2-3-9-8-2-2-3-9-8-2-5-7-5-7-10-7-7-10-7-7-5-5-7-5-7-5-7-7-5-7-5-5-7-7-10-7-5-7-7-2-3-9-8-2-2-3-9-8-2-5-7-5-7-10-7-7-10-7-7-10-7-7-10-2-2-10-2-10-10-2-10-2-2-10-2-10-10-2-10-2-5-5-7-5-7-7-5-7-5-7-5-5-7-5-7-7-5-7-5-7-2-3-9-8-2-2-3-9-8-2-5-7-5-7-10-7-7-10-7-7-10-7-7-10-2-2-10-2-10-10-2-10-2-2-10-2-10-10-2-10-2-5-5-7-5-7-7-5-7-5-7-5-5-7-5-7-7-5-7-5-7-5-5-7-5-7-5-7-5-7-7-5-7-5-7-5-5-7-5-7-7-5-7-5-4-5-10-2-10-2-10-2-10-2-2
794;Catch My Fall;Billy Idol;1985-01-12;50;G:maj-D:maj-C:maj-D:maj-G:maj-D:maj-C:maj-D:maj-G:maj-D:maj-C:maj-D:maj-C:maj-D:maj-C:maj-D:maj-E:min-A:maj-E:min-A:maj-C:maj-D:maj-C:maj-D:maj-G:maj-D:maj-C:maj-D:maj-G:maj-D:maj-C:maj-D:maj-G:maj-D:maj-C:maj-D:maj-G:maj-D:maj-C:maj-D:maj-C:maj-D:maj-C:maj-D:maj-E:min-A:maj-E:min-A:maj-C:maj-D:maj-C:maj-D:maj-C:maj-D:maj-C:maj-D:maj-C:maj-D:maj-C:maj-D:maj-E:min-A:maj-E:min-A:maj-C:maj-D:maj-C:maj-D:maj-C:maj-D:maj-G:maj-D:maj-C:maj-D:maj-G:maj-D:maj-C:maj-D:maj-G:maj-D:maj-C:maj-D:maj-G:maj-D:maj-C:maj-D:maj-N;8-7-10-2-5-7-10-2-5-7-10-2-10-2-10-2-2-5-7-5-3-2-10-2-5-7-10-2-5-7-10-2-5-7-10-2-5-7-10-2-10-2-10-2-2-5-7-5-3-2-10-2-10-2-10-2-10-2-10-2-2-5-7-5-3-2-10-2-10-2-5-7-10-2-5-7-10-2-5-7-10-2-5-7-10-2-9
1234;Amanda;Boston;1986-12-13;1;G:maj-E:min7-B:min7-C:maj-G:maj/3-A:min7-G:maj-D:maj-G:maj-E:min7-B:min7-C:maj-G:maj/3-A:min7-G:maj-D:maj-E:min-A:min-D:maj-E:min-A:min-D:maj-E:min-A:min-D:maj-C:sus2(#11-N-G:maj-E:min7-B:min7-C:maj-G:maj/3-A:min7-G:maj-D:maj-G:maj-E:min7-B:min7-C:maj-G:maj/3-A:min7-G:maj-D:maj-E:min-A:min-D:maj-E:min-A:min-D:maj-E:min-A:min-D:maj-E:min-A:min-D:maj-E:min-A:min-D:maj-E:maj-D:maj6(9)-E:maj-D:maj6(9)-E:maj-D:maj6(9)-E:maj-D:maj6(9)-C:maj-D:maj-G:maj-D:maj/3-E:min-D:maj-C:maj-B:min-A:min-G:maj-D:maj-B:min-D:maj/5-G:maj-E:min7-B:min7-A:min-D:maj-N;8-9-7-1-7-2-10-7-5-9-7-1-7-2-10-7-2-5-5-2-5-5-2-5-5-10-11-8-9-7-1-7-2-10-7-5-9-7-1-7-2-10-7-2-5-5-2-5-5-2-5-5-2-5-5-2-5-5-2-10-2-10-2-10-2-10-10-2-5-7-2-10-10-11-10-10-7-9-3-5-9-7-10-5-9
758;Come Monday;Jimmy Buffett;1974-08-10;30;A:maj-D:maj/5-A:maj-D:maj/5-A:maj-D:maj-E:maj-A:maj-D:maj-E:maj-A:maj-B:min7-D:maj-E:maj-D:maj-A:maj-D:maj-E:maj-A:maj-C#:min7-D:maj-E:maj-D:maj-E:maj-A:maj-D:maj/5-A:maj-D:maj-E:maj-A:maj-D:maj-E:maj-A:maj-B:min7-D:maj-E:maj-D:maj-A:maj-D:maj-E:maj-A:maj-C#:min7-D:maj-E:maj-D:maj-E:maj-A:maj-D:maj/5-A:maj-B:maj7-E:maj-B:maj7-E:maj-B:maj7-E:maj-D:maj-E:maj-G:maj-D:maj-A:maj-D:maj-E:maj-A:maj-D:maj-E:maj-A:maj-B:min7-D:maj-E:maj-D:maj-A:maj-D:maj-E:maj-A:maj-C#:min7-D:maj-E:maj-D:maj-E:maj-A:maj-C#:min7-D:maj-E:maj-D:maj-E:maj-G:maj-D:maj-A:maj-N;10-5-7-5-7-5-2-5-5-2-5-2-3-2-10-7-5-2-5-4-1-2-10-2-5-5-7-5-2-5-5-2-5-2-3-2-10-7-5-2-5-4-1-2-10-2-5-5-7-2-5-7-5-7-5-10-2-3-7-7-5-2-5-5-2-5-2-3-2-10-7-5-2-5-4-1-2-10-2-5-4-1-2-10-2-3-7-7-2
208;Another Rainy Day In New York City;Chicago;1976-08-21;32;A:maj-E:sus4(9)-A:maj-E:sus4(9)-A:maj-E:sus4(9)-C#:min7-F#:9-B:min7-A:maj-E:sus4(9)-C#:min7-F#:9-B:min7-F:maj7-C:maj7-F:maj7-C:maj7-B:min7-E:7-A:maj-E:7-A:maj-E:sus4-A:maj-E:sus4-A:maj-E:7-A:maj-E:sus4(9)-C#:min7-F#:9-B:min7-A:maj-E:sus4(9)-C#:min7-F#:9-B:min7-F:maj7-C:maj7-F:maj7-C:maj7-B:min7-E:7-A:maj-E:7-A:maj-E:sus4-A:maj-E:maj-A:maj-E:maj-A:maj-E:maj-A:maj-E:maj-A:maj-E:maj-A:maj-E:maj-N;10-7-5-7-5-7-9-5-5-10-7-9-5-5-6-7-5-7-11-5-5-7-5-7-5-7-5-7-5-7-9-5-5-10-7-9-5-5-6-7-5-7-11-5-5-7-5-7-5-7-5-7-5-7-5-7-5-7-5-7-7
155;Forever Man;Eric Clapton;1985-04-20;26;D:sus4(b7)-Bb:maj-C:maj-D:min-Bb:maj-C:maj-D:min-Bb:maj-C:maj-D:min-G:min-Bb:maj-C:maj-D:min-Bb:maj-C:maj-D:sus4(b7)-Bb:maj-C:maj-D:min-Bb:maj-C:maj-D:min-Bb:maj-C:maj-D:min-G:min-Bb:maj-C:maj-D:min-Bb:maj-C:maj-D:sus4(b7)-Bb:maj-C:maj-D:min-Bb:maj-C:maj-D:min-Bb:maj-C:maj-D:min-G:min-Bb:maj-C:maj-D:min-Bb:maj-C:maj-D:sus4(b7)-Bb:maj-C:maj-D:min-Bb:maj-C:maj-D:min-Bb:maj-C:maj-D:min-G:min-Bb:maj-C:maj-D:min-Bb:maj-C:maj-D:min-Bb:maj-C:maj-D:min-Bb:maj-C:maj-D:min-G:min-Bb:maj-C:maj-D:min-Bb:maj-C:maj-D:min-Bb:maj-C:maj-D:min-Bb:maj-C:maj-D:min-G:min-Bb:maj-C:maj-D:min-N;3-8-2-2-8-2-2-8-2-2-5-3-2-2-8-2-2-8-2-2-8-2-2-8-2-2-5-3-2-2-8-2-2-8-2-2-8-2-2-8-2-2-5-3-2-2-8-2-2-8-2-2-8-2-2-8-2-2-5-3-2-2-8-2-2-8-2-2-8-2-2-5-3-2-2-8-2-2-8-2-2-8-2-2-5-3-2-2-9
33;Crazy On You;Heart;1978-02-11;35;C:maj/5-F#:hdim7-E:maj-N-D:min-E:maj-N-A:min-F:maj-A:min-F:maj-G:maj-A:min-F:maj-A:min-F:maj-G:maj-A:min-G:maj-F:maj-A:min-C:maj-D:min-E:maj-A:min-C:maj-D:min-E:maj-A:min-D:maj/5-A:min-D:maj/5-E:min-C:maj-F:maj-D:min-E:maj-A:min-F:maj-G:maj-A:min-F:maj-G:maj-A:min-G:maj-F:maj-A:min-C:maj-D:min-E:maj-A:min-C:maj-D:min-E:maj-A:min-D:maj/5-A:min-D:maj/5-E:min-C:maj-F:maj-D:min-E:maj-A:min-F:maj-G:maj-A:min-F:maj-G:maj-A:min-G:maj-F:maj-A:min-F#:min7-D:maj-C#:min-D:maj-C#:min-D:maj-C#:min-B:min7/5-A:maj-E:maj-A:min-F:maj-G:maj-A:min-F:maj-G:maj-A:min-G:maj-F:maj-A:min-C:maj-D:min-E:maj-A:min-C:maj-D:min-E:maj-A:min-F:maj-G:maj-A:min-F:maj-G:maj-A:min-G:maj-F:maj-A:min-F:maj-G:maj-A:min-F:maj-G:maj-A:min-G:maj-F:maj-A:min-F:maj-G:maj-A:min-F:maj-G:maj-A:min-G:maj-F:maj-A:min-F#:min7-D:maj-C#:min-D:maj-C#:min-D:maj-C#:min-B:min7/5-A:maj-E:maj-A:min-F:maj-G:maj-A:min-F:maj-G:maj-A:min-G:maj-F:maj-A:min-N;1-6-10-7-3-2-7-10-8-4-8-2-2-8-4-8-2-2-10-10-4-3-2-2-5-3-2-2-5-5-7-5-2-8-5-9-2-5-8-2-2-8-2-2-10-10-4-3-2-2-5-3-2-2-5-5-7-5-2-8-5-9-2-5-8-2-2-8-2-2-10-10-4-9-8-11-1-11-1-11-10-10-7-5-8-2-2-8-2-2-10-10-4-3-2-2-5-3-2-2-5-8-2-2-8-2-2-10-10-4-8-2-2-8-2-2-10-10-4-8-2-2-8-2-2-10-10-4-9-8-11-1-11-1-11-10-10-7-5-8-2-2-8-2-2-10-10-4-2
940;Feel Like Makin' Love;Roberta Flack;1974-08-03;1;F:min9-Bb:sus4(b7-Eb:maj7-Db:7-C:7-F:min9-Bb:sus4(b7-Eb:maj7-A:7(#11)-Ab:maj7-G:min7-F:min7-C:min-Ab:maj7-G:min7-Db:7(#11)-C:min-F:7-Bb:sus4(b7-Eb:maj7-Db:7-C:7-F:min9-Bb:sus4(b7-Eb:maj7-A:7(#11)-Ab:maj7-G:min7-F:min7-C:min-Ab:maj7-G:min7-Db:7(#11)-C:min-F:7-Bb:sus4(b7-Eb:maj7-Db:7-C:7-F:min9-Bb:sus4(b7-Eb:maj7-A:7(#11)-Ab:maj7-G:min7-F:min7-C:min-Ab:maj7-G:min7-Db:7(#11)-C:min-F:7-Bb:sus4(b7-Eb:maj7-Db:7-C:7-F:min9-Bb:sus4(b7-Eb:maj7-A:7(#11)-Ab:maj7-G:min7-F:min7-C:min-Ab:maj7-G:min7-Db:7(#11)-C:min-F:7-N;6-5-5-10-11-5-5-5-6-11-11-10-7-8-11-6-11-5-5-5-10-11-5-5-5-6-11-11-10-7-8-11-6-11-5-5-5-10-11-5-5-5-6-11-11-10-7-8-11-6-11-5-5-5-10-11-5-5-5-6-11-11-10-7-8-11-6-11-5-6
